,dataset,k1,k2,distance,alphas,losses_train,accuracy_lst_train,losses_test,accuracy_lst_test
0,MNIST,0,1,2.0229122638702393,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.4168031048774719, 0.4167096471786499, 0.4173871493339539, 0.4187392175197601, 0.42069089591503145, 0.4231578654050827, 0.42599800407886507, 0.42898575246334075, 0.4319789755344391, 0.43494975864887236, 0.43782291293144227, 0.44038060247898103, 0.4423596823215485, 0.4435229939222336, 0.44371051907539366, 0.4428513789176941, 0.44121689081192017, 0.439141788482666, 0.43679369390010836, 0.4344844603538513, 0.43249403953552246, 0.4309348714351654, 0.4298980212211609, 0.42946729838848113, 0.4297015064954758]","[0.8778515625, 0.87865234375, 0.87806640625, 0.8776171875, 0.87669921875, 0.87576171875, 0.87498046875, 0.87369140625, 0.87279296875, 0.8714453125, 0.86982421875, 0.8687890625, 0.86771484375, 0.86724609375, 0.86703125, 0.867265625, 0.868125, 0.869140625, 0.87017578125, 0.8711328125, 0.87208984375, 0.87263671875, 0.8730859375, 0.8733203125, 0.87287109375]","[0.39065555362701415, 0.39075543146133423, 0.39152869477272034, 0.39289582424163816, 0.39481035385131835, 0.39719091300964354, 0.3998947524547577, 0.40282250080108645, 0.40580259351730347, 0.4087713215351105, 0.4116121755123138, 0.414079398393631, 0.416018100643158, 0.4171936897277832, 0.41743462982177737, 0.416709183883667, 0.41510296273231506, 0.41288378329277037, 0.41029426827430726, 0.40778188705444335, 0.4056478552341461, 0.40395479869842527, 0.402804030752182, 0.4022684070110321, 0.40239836325645445]","[0.8874, 0.8879, 0.8893, 0.8883, 0.889, 0.8896, 0.8897, 0.8883, 0.8874, 0.8872, 0.8855, 0.8846, 0.8832, 0.8822, 0.8819, 0.8828, 0.8831, 0.8838, 0.8849, 0.8857, 0.8861, 0.8862, 0.8866, 0.8861, 0.8855]"
1,MNIST,0,2,2.4384655952453613,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.2733333232998848, 0.2726507267355919, 0.2726857295632362, 0.27334766000509264, 0.2745589646697044, 0.27623056262731555, 0.27822359949350356, 0.28039578467607496, 0.282592748105526, 0.28467037141323087, 0.28645106852054597, 0.28778321415185926, 0.2886470013856888, 0.2889993730187416, 0.28875431925058365, 0.28786136239767074, 0.2864798268675804, 0.2849089378118515, 0.2833801728487015, 0.28207041770219804, 0.2810790354013443, 0.28043863773345945, 0.28023035734891893, 0.28048484176397326, 0.28124794334173203]","[0.91873046875, 0.91896484375, 0.91880859375, 0.9187890625, 0.9183203125, 0.91787109375, 0.91712890625, 0.91650390625, 0.9158984375, 0.91541015625, 0.91482421875, 0.91421875, 0.9140625, 0.91400390625, 0.9140625, 0.91443359375, 0.9145703125, 0.9152734375, 0.91587890625, 0.91654296875, 0.9171484375, 0.91734375, 0.9174609375, 0.917421875, 0.91759765625]","[0.2505556808948517, 0.25020971937179565, 0.2505333790063858, 0.2514293620824814, 0.2528318614244461, 0.25465751399993897, 0.2567652331829071, 0.25906909036636355, 0.2613383964538574, 0.2634323754310608, 0.26513776726722715, 0.26633189630508425, 0.26702987976074216, 0.267291481924057, 0.2670534538269043, 0.26625631384849546, 0.2649994084835052, 0.2634835509777069, 0.2619460380077362, 0.260586901140213, 0.25948687489032746, 0.25876621344089507, 0.25843391013145445, 0.25856129953861234, 0.2591950692653656]","[0.925, 0.9244, 0.9251, 0.9261, 0.9265, 0.9258, 0.9259, 0.9255, 0.9252, 0.9249, 0.9244, 0.9235, 0.9231, 0.9218, 0.9218, 0.922, 0.923, 0.9235, 0.9247, 0.9251, 0.9256, 0.9257, 0.9264, 0.9264, 0.9256]"
2,MNIST,0,3,2.9103105068206787,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.1950891360640526, 0.19456404954195022, 0.19458315193653106, 0.1950770628452301, 0.1959692880511284, 0.19718868106603624, 0.19861918985843657, 0.20014705657958984, 0.20163658499717713, 0.20298144966363907, 0.20411525756120683, 0.20499513775110245, 0.20561956793069838, 0.20595893651247024, 0.20595235913991927, 0.20561101347208022, 0.20494592934846878, 0.20406349509954452, 0.20309131801128388, 0.2021961811184883, 0.20144266694784163, 0.2008805164694786, 0.20053607374429702, 0.20040808886289596, 0.2005145373940468]","[0.9422265625, 0.94298828125, 0.943203125, 0.94326171875, 0.943125, 0.94265625, 0.9421875, 0.94173828125, 0.9412890625, 0.94099609375, 0.94052734375, 0.9401953125, 0.94009765625, 0.93994140625, 0.9398046875, 0.93990234375, 0.94, 0.94017578125, 0.94025390625, 0.94046875, 0.94044921875, 0.94056640625, 0.9409375, 0.94109375, 0.94078125]","[0.18130861794948577, 0.1808105054616928, 0.1808510992527008, 0.18134738445281984, 0.18223832352161407, 0.18343991150856018, 0.1848096920967102, 0.18626472284793855, 0.1876604588508606, 0.1888394505739212, 0.18977131996154786, 0.1903716044664383, 0.19073267352581025, 0.19087880194187165, 0.19076785154342651, 0.19033948225975036, 0.1895209730386734, 0.1884537844181061, 0.18728152577877044, 0.18617330877780913, 0.18523288323879242, 0.18448845691680907, 0.18398212237358094, 0.1836938235282898, 0.18365342981815339]","[0.9457, 0.9462, 0.9471, 0.9474, 0.9475, 0.9475, 0.9472, 0.947, 0.9469, 0.9463, 0.9459, 0.9452, 0.9451, 0.9448, 0.9446, 0.9449, 0.9451, 0.9456, 0.9462, 0.9458, 0.9458, 0.946, 0.9459, 0.9453, 0.9452]"
3,MNIST,0,4,3.322174310684204,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.14871598437428474, 0.14890550523996354, 0.14945880934596062, 0.1502990737557411, 0.1513601139187813, 0.15258200377225875, 0.1538943175971508, 0.15518325433135033, 0.15633787363767623, 0.15728040188550949, 0.15793424040079118, 0.15823580712080001, 0.15819388672709464, 0.1578353488445282, 0.157198918312788, 0.1563289600610733, 0.15533558756113053, 0.15428082555532455, 0.15329099491238593, 0.152480159252882, 0.15191209748387335, 0.15163138672709464, 0.15165269032120704, 0.1519859804213047, 0.15263992190361023]","[0.955390625, 0.95537109375, 0.95515625, 0.95494140625, 0.95478515625, 0.954453125, 0.9540625, 0.95392578125, 0.95375, 0.95369140625, 0.95361328125, 0.95365234375, 0.95349609375, 0.9534375, 0.95353515625, 0.953671875, 0.95421875, 0.954375, 0.9548828125, 0.955, 0.95498046875, 0.95501953125, 0.95498046875, 0.95478515625, 0.954375]","[0.13501816337108613, 0.13533905704021454, 0.13597643435001372, 0.13683937129974366, 0.1378787219762802, 0.13904128530025484, 0.14024252285957337, 0.1414148122549057, 0.14243524842262267, 0.14321354892253876, 0.14361904957294463, 0.1436616903066635, 0.14338035106658936, 0.14293667395114898, 0.14223657667636871, 0.14122886157035827, 0.14005686774253845, 0.13880235176086425, 0.137610475897789, 0.1366017301797867, 0.1358694752931595, 0.13545125601291658, 0.13531444370746612, 0.1354847568511963, 0.13599910287857056]","[0.9609, 0.9608, 0.9601, 0.9599, 0.9594, 0.9591, 0.9592, 0.9589, 0.9588, 0.9584, 0.9581, 0.9578, 0.9577, 0.958, 0.9579, 0.9583, 0.9585, 0.9591, 0.96, 0.9596, 0.9594, 0.9596, 0.96, 0.9599, 0.9594]"
4,MNIST,0,5,3.6549630165100098,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.12979761332273484, 0.1278662244975567, 0.1265694785118103, 0.1258097042143345, 0.1254905104637146, 0.12552083700895308, 0.12581879317760467, 0.1262936535477638, 0.12685436397790908, 0.12740109175443648, 0.12779676914215088, 0.1279442435503006, 0.12783777132630347, 0.12748661622405053, 0.12690238729119302, 0.12612325996160506, 0.1252170366048813, 0.12427572414278984, 0.12337850004434586, 0.12262451410293579, 0.12207189932465554, 0.12176469013094902, 0.12171475008130074, 0.12193430721759796, 0.12242789715528488]","[0.96005859375, 0.96078125, 0.9615625, 0.962265625, 0.96220703125, 0.96232421875, 0.9625, 0.96259765625, 0.96271484375, 0.96265625, 0.96259765625, 0.9626171875, 0.96275390625, 0.962734375, 0.96294921875, 0.96294921875, 0.9633984375, 0.9636328125, 0.96388671875, 0.96408203125, 0.96400390625, 0.9641796875, 0.96390625, 0.96392578125, 0.9637890625]","[0.11822237164974213, 0.1164291942358017, 0.1152508348941803, 0.11461507382392884, 0.11438665788173676, 0.1144766027212143, 0.11482704597711563, 0.11534320427179337, 0.11595819730758666, 0.1165239893078804, 0.116893874335289, 0.11701902384757995, 0.11689848117828369, 0.1165752309679985, 0.11600760408639908, 0.11522785204648972, 0.11427860783338546, 0.11324865239858627, 0.1122789840221405, 0.1114403226852417, 0.11077571400403977, 0.11033760627508163, 0.11012478505373001, 0.11015051935911178, 0.11043822224140168]","[0.963, 0.9637, 0.9645, 0.9655, 0.9658, 0.966, 0.9661, 0.9664, 0.9658, 0.9659, 0.9656, 0.9653, 0.9654, 0.9655, 0.9653, 0.9651, 0.9647, 0.9654, 0.9659, 0.9658, 0.9658, 0.9658, 0.9658, 0.9655, 0.9652]"
5,MNIST,0,6,3.94724440574646,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.09930634170770646, 0.09896740354597569, 0.09892052479088306, 0.09912289574742317, 0.09952530182898045, 0.10008464463055133, 0.10074231043457985, 0.10142877638339996, 0.10205693230032921, 0.10259562596678734, 0.10300577521324157, 0.10323976546525955, 0.10331947177648544, 0.10323881611227989, 0.10302394330501556, 0.10266351759433746, 0.10217216819524765, 0.10156361699104309, 0.10092563182115555, 0.10035313650965691, 0.09990580141544342, 0.09963106527924538, 0.09956092774868011, 0.09972172066569328, 0.10014876291155815]","[0.97025390625, 0.9704296875, 0.97033203125, 0.9705078125, 0.97052734375, 0.9703125, 0.97009765625, 0.9698828125, 0.96990234375, 0.96978515625, 0.96978515625, 0.9700390625, 0.96984375, 0.97005859375, 0.9701171875, 0.96998046875, 0.970078125, 0.97001953125, 0.96986328125, 0.969765625, 0.97, 0.97009765625, 0.96984375, 0.9696484375, 0.9695703125]","[0.08808370289802551, 0.08783024159669876, 0.0878625372171402, 0.08811775941848755, 0.08855860838890076, 0.08912598317861557, 0.08977931473255157, 0.09041037393808365, 0.0909571521282196, 0.0913964227437973, 0.09166377055644989, 0.09179082325696945, 0.09179314193725586, 0.09162531433105468, 0.09132536879777908, 0.09089788831472397, 0.09029813706874848, 0.08956072244644166, 0.08876771795749665, 0.08797698421478271, 0.0873067281961441, 0.08679733667373657, 0.08644479916095733, 0.0863003827214241, 0.08637301514148713]","[0.9722, 0.9729, 0.9724, 0.9721, 0.9721, 0.9718, 0.9718, 0.9714, 0.971, 0.971, 0.9709, 0.9708, 0.9708, 0.9705, 0.9704, 0.9706, 0.971, 0.9714, 0.9717, 0.9717, 0.9715, 0.9718, 0.9722, 0.9725, 0.9724]"
6,MNIST,0,7,4.189408779144287,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.08839002139866352, 0.08749369315803052, 0.08695724472403527, 0.08673501268029213, 0.08677828989923, 0.08704164929687977, 0.08746985539793968, 0.08799248285591603, 0.08855049133300781, 0.0891048863530159, 0.08960682183504104, 0.09001990579068661, 0.09032143533229828, 0.09048182740807534, 0.09054309859871865, 0.09047514632344246, 0.09029902018606663, 0.09003090091049672, 0.08972797982394695, 0.08945470102131367, 0.08926867693662643, 0.08918134033679963, 0.0892434836179018, 0.08949739456176758, 0.089955181106925]","[0.9728125, 0.9731640625, 0.9735546875, 0.97365234375, 0.97373046875, 0.9739453125, 0.97384765625, 0.97373046875, 0.9733984375, 0.97365234375, 0.97326171875, 0.973359375, 0.97341796875, 0.973359375, 0.9735546875, 0.9733984375, 0.97353515625, 0.97353515625, 0.973515625, 0.97341796875, 0.97341796875, 0.97330078125, 0.9730859375, 0.97294921875, 0.97275390625]","[0.07661496671438217, 0.07585016758441925, 0.07541978559494018, 0.0752627521276474, 0.0753682053565979, 0.07569566538333893, 0.07618738869428635, 0.07676574004888534, 0.07735590720176697, 0.07794164375066757, 0.07844067769050599, 0.07888389202356338, 0.07924123455286027, 0.07950179725885391, 0.07968135664463043, 0.07974247018098832, 0.0796153767824173, 0.07939361259937286, 0.07908161835670471, 0.07876261439323426, 0.07851737471818925, 0.07833301948308945, 0.07827362368106842, 0.07838226798772811, 0.07866358824968338]","[0.9743, 0.9746, 0.9751, 0.9749, 0.9745, 0.9745, 0.9745, 0.9745, 0.9744, 0.9744, 0.9741, 0.9739, 0.9739, 0.9743, 0.9743, 0.9743, 0.9745, 0.9744, 0.9749, 0.975, 0.9751, 0.975, 0.9749, 0.9749, 0.9748]"
7,MNIST,0,8,4.41118860244751,"[0.0, 0.0416666679084301, 0.0833333358168602, 0.125, 0.1666666716337204, 0.2083333432674408, 0.25, 0.2916666865348816, 0.3333333432674408, 0.375, 0.4166666865348816, 0.4583333432674408, 0.5, 0.5416666269302368, 0.5833333134651184, 0.625, 0.6666666269302368, 0.7083333134651184, 0.75, 0.7916666865348816, 0.8333333134651184, 0.875, 0.9166666865348816, 0.9583333134651184, 1.0]","[0.07813302904367447, 0.0781647639721632, 0.0784500265866518, 0.07893780499696731, 0.07958942130208016, 0.08034925863146782, 0.08115442603826523, 0.08193383298814297, 0.08261232264339924, 0.08315653935074806, 0.08349463984370231, 0.08361668169498443, 0.08351470768451691, 0.08320254243910313, 0.08274477429687976, 0.08215764440596103, 0.08150604397058486, 0.080809171423316, 0.08013188444077969, 0.07956837445497512, 0.07918339431285858, 0.07902960240840912, 0.07911280922591686, 0.07946917749941348, 0.08012183874845505]","[0.97615234375, 0.97626953125, 0.976015625, 0.97599609375, 0.97572265625, 0.97556640625, 0.9754296875, 0.9753125, 0.97529296875, 0.975078125, 0.9748046875, 0.97484375, 0.97482421875, 0.9748828125, 0.97484375, 0.97490234375, 0.9749609375, 0.975390625, 0.97560546875, 0.9759765625, 0.9759375, 0.97607421875, 0.9759765625, 0.9756640625, 0.97541015625]","[0.07172541180849075, 0.07152704554796219, 0.07159346138238906, 0.07186808263063431, 0.07232033377885819, 0.07289306044578553, 0.07350429924726486, 0.07407901401519776, 0.07457955498695373, 0.07491913293600082, 0.07508087965250015, 0.07505317946672439, 0.07483759293556214, 0.0744533017039299, 0.07394260911941529, 0.07333031095266342, 0.07259193524122239, 0.07177166327238083, 0.07099325404167176, 0.07031512548923492, 0.06981618375778198, 0.0695599168419838, 0.06956380569934845, 0.06982776956558227, 0.07035751907229423]","[0.9763, 0.976, 0.9765, 0.9763, 0.9762, 0.9758, 0.9757, 0.9757, 0.9755, 0.9757, 0.9756, 0.9752, 0.9753, 0.9755, 0.9758, 0.9765, 0.9773, 0.9779, 0.9785, 0.9785, 0.9789, 0.9786, 0.979, 0.9791, 0.9793]"
